_id;Year;Month;Type;Departure station;Arrival station;Average travel time;Number of expected travels;Number of cancelled trains;Number of late trains at departure;Average delay at departure of all trains;Number of late trains at arrival;Average delay at arrival of all trains;Comment on delay at arrival;Number of late trains > 15min;Average delay of late trains > 15min;Number of late trains > 30min;Number of late trains > 60min;Percentage of late trains due to external causes;Percentage of late trains due to infrastructure;Percentage of late trains due to traffic management;Percentage of late trains due to rolling stock;Percentage of late trains due to station management and reuse of material;Percentage of late trains due to passenger traffic
2021_07_PARIS_MONTPARNASSE_TOURS;2021;7;National;PARIS MONTPARNASSE;TOURS;79;139;2;18;2.24038929440389;20;5.54172749391727;;12;46.0930555555556;9;3;0.0;10.5263157894737;21.0526315789474;36.8421052631579;5.26315789473684;26.3157894736842
2021_07_ST_PIERRE_DES_CORPS_PARIS_MONTPARNASSE;2021;7;National;ST PIERRE DES CORPS;PARIS MONTPARNASSE;64;464;12;142;2.84921875;76;3.98705357142857;;30;33.9466666666667;9;4;12.5;18.0555555555556;23.6111111111111;13.8888888888889;11.1111111111111;20.8333333333333
2021_07_STRASBOURG_NANTES;2021;7;National;STRASBOURG;NANTES;322;56;0;13;0.9678571428571427;11;13.3169642857143;;11;58.9348484848485;6;4;0.0;27.2727272727273;18.1818181818182;27.2727272727273;9.09090909090909;18.1818181818182
2021_07_PARIS_EST_FRANCFORT;2021;7;International;PARIS EST;FRANCFORT;235;173;4;22;0.821499013806707;17;5.12366863905326;;17;25.6107843137255;4;0;20.0;13.3333333333333;40.0;13.3333333333333;6.66666666666667;6.66666666666667
2021_07_ANGERS_SAINT_LAUD_PARIS_MONTPARNASSE;2021;7;National;ANGERS SAINT LAUD;PARIS MONTPARNASSE;97;492;2;311;5.88364134154689;69;7.06416837782342;;56;55.2273809523809;31;20;14.4927536231884;34.7826086956522;8.695652173913041;20.2898550724638;4.347826086956521;17.3913043478261
2021_07_BORDEAUX_ST_JEAN_PARIS_MONTPARNASSE;2021;7;National;BORDEAUX ST JEAN;PARIS MONTPARNASSE;143;930;8;351;5.89042707202316;134;9.72155266015202;;111;65.1536036036036;56;27;18.939393939393906;23.4848484848485;10.6060606060606;14.3939393939394;12.8787878787879;19.6969696969697
2021_07_DIJON_VILLE_PARIS_LYON;2021;7;National;DIJON VILLE;PARIS LYON;98;303;0;96;3.31218161683278;20;1.70681063122924;;10;61.345000000000006;7;5;10.5263157894737;15.7894736842105;15.7894736842105;21.0526315789474;15.7894736842105;21.0526315789474
2021_07_DOUAI_PARIS_NORD;2021;7;National;DOUAI;PARIS NORD;75;171;4;42;0.892971887550201;20;1.91616465863454;;3;37.8055555555556;2;0;15.0;15.0;35.0;0.0;20.0;15.0
2021_07_LA_ROCHELLE_VILLE_PARIS_MONTPARNASSE;2021;7;National;LA ROCHELLE VILLE;PARIS MONTPARNASSE;174;236;4;20;1.78326149425287;23;5.764152298850581;;21;49.8253968253968;9;5;21.7391304347826;13.043478260869602;13.043478260869602;21.7391304347826;4.347826086956521;26.0869565217391
2021_07_LYON_PART_DIEU_LILLE;2021;7;National;LYON PART DIEU;LILLE;190;327;0;159;5.798063200815489;57;7.880937818552497;;48;45.67847222222221;20;11;17.5438596491228;5.26315789473684;24.5614035087719;19.2982456140351;8.7719298245614;24.5614035087719
2021_07_LYON_PART_DIEU_MONTPELLIER;2021;7;National;LYON PART DIEU;MONTPELLIER;115;245;0;96;5.42428571428571;48;10.8596598639456;;39;60.70384615384619;26;10;18.75;31.25;10.4166666666667;18.75;8.33333333333333;12.5
2021_07_MARNE_LA_VALLEE_LYON_PART_DIEU;2021;7;National;MARNE LA VALLEE;LYON PART DIEU;108;417;1;263;5.08529647435897;41;4.52431891025642;;26;45.4217948717949;10;5;26.8292682926829;24.390243902439;4.878048780487811;7.317073170731709;4.878048780487811;31.7073170731707
2021_07_MARSEILLE_ST_CHARLES_TOURCOING;2021;7;National;MARSEILLE ST CHARLES;TOURCOING;301;31;0;7;3.58440860215054;4;6.90322580645161;;4;43.75;2;1;0.0;0.0;25.0;50.0;0.0;25.0
2021_07_MULHOUSE_VILLE_PARIS_LYON;2021;7;National;MULHOUSE VILLE;PARIS LYON;171;236;0;80;1.90826271186441;15;1.58439265536724;;11;45.3363636363636;4;3;13.3333333333333;20.0;13.3333333333333;20.0;13.3333333333333;20.0
2021_07_NANCY_PARIS_EST;2021;7;National;NANCY;PARIS EST;94;258;0;59;1.7312015503876;17;1.40142118863049;;4;58.4458333333333;3;2;18.75;31.25;6.25;6.25;31.25;6.25
2021_07_PARIS_EST_STRASBOURG;2021;7;National;PARIS EST;STRASBOURG;125;510;1;72;1.99024230517354;21;0.919155206286837;;18;48.6018518518518;12;6;14.2857142857143;0.0;4.76190476190476;47.6190476190476;14.2857142857143;19.047619047619
2021_07_PARIS_LYON_BELLEGARDE_(AIN);2021;7;National;PARIS LYON;BELLEGARDE (AIN);163;201;0;24;1.88449419568823;26;5.39809286898839;;23;33.5615942028986;7;3;38.4615384615385;30.7692307692308;3.84615384615385;23.0769230769231;3.84615384615385;0.0
2021_07_PARIS_LYON_CHAMBERY_CHALLES_LES_EAUX;2021;7;National;PARIS LYON;CHAMBERY CHALLES LES EAUX;187;132;0;20;2.44974747474748;9;5.73282828282828;;9;36.5925925925926;5;1;22.2222222222222;22.2222222222222;0.0;44.4444444444444;11.1111111111111;0.0
2021_07_PARIS_LYON_MACON_LOCHE;2021;7;National;PARIS LYON;MACON LOCHE;97;150;0;17;1.14422222222222;17;3.385;;12;26.544444444444405;2;0;5.88235294117647;17.6470588235294;11.7647058823529;35.2941176470588;17.6470588235294;11.7647058823529
